FLPDYR,RECID,aftertax_income,c00100,c04800,eitc
2019,575,1127.62,852.00,0.00,340.80
2019,576,1170.22,852.00,0.00,383.40
2019,577,864.00,864.00,0.00,66.10
2019,578,1091.66,864.00,0.00,293.76
2019,579,1143.50,864.00,0.00,345.60
2019,580,1186.70,864.00,0.00,388.80
2019,581,864.00,864.00,0.00,66.10
2019,582,1091.66,864.00,0.00,293.76
2019,583,1143.50,864.00,0.00,345.60
2019,584,1186.70,864.00,0.00,388.80
2019,585,876.00,876.00,0.00,67.01
2019,586,1106.83,876.00,0.00,297.84
2019,587,1159.39,876.00,0.00,350.40
2019,588,1203.19,876.00,0.00,394.20
2019,589,876.00,876.00,0.00,67.01
2019,590,1106.83,876.00,0.00,297.84
2019,591,1159.39,876.00,0.00,350.40
2019,592,1203.19,876.00,0.00,394.20
2019,593,888.00,888.00,0.00,67.93
2019,594,1121.99,888.00,0.00,301.92
2019,595,1175.27,888.00,0.00,355.20
2019,596,1219.67,888.00,0.00,399.60
2019,597,888.00,888.00,0.00,67.93
2019,598,1121.99,888.00,0.00,301.92
2019,599,1175.27,888.00,0.00,355.20
2019,600,1219.67,888.00,0.00,399.60
2019,601,900.00,900.00,0.00,68.85
2019,602,1137.15,900.00,0.00,306.00
2019,603,1191.15,900.00,0.00,360.00
2019,604,1236.15,900.00,0.00,405.00
2019,605,900.00,900.00,0.00,68.85
2019,606,1137.15,900.00,0.00,306.00
2019,607,1191.15,900.00,0.00,360.00
2019,608,1236.15,900.00,0.00,405.00
2019,609,912.00,912.00,0.00,69.77
2019,610,1152.31,912.00,0.00,310.08
2019,611,1207.03,912.00,0.00,364.80
2019,612,1252.63,912.00,0.00,410.40
2019,613,912.00,912.00,0.00,69.77
2019,614,1152.31,912.00,0.00,310.08
2019,615,1207.03,912.00,0.00,364.80
2019,616,1252.63,912.00,0.00,410.40
2019,617,924.00,924.00,0.00,70.69
2019,618,1167.47,924.00,0.00,314.16
2019,619,1222.91,924.00,0.00,369.60
2019,620,1269.11,924.00,0.00,415.80
